country_code,country,sex_code,sex,measure_code,measure,year,cancer_id,cancer,icd10,asr_world,asr_europe_1976,asr_europe_2013,asr_nordic_2000,crude_rate,count,population,unit,standard_population,source_version,source_url,retrieved_at
208,Denmark,1,Male,0,Incidence,1960,160,Lung,C33-C34,31.07271355,43.98476828,60.49509204,51.54462933,40.19966863,913,2271163,"per 100,000 person-years",Multiple rate definitions; see rate columns,NORDCAN 9.6 (30 June 2026),https://nordcan.iarc.fr/en/dataviz/trends?cancers=160&key=asr_n&populations=208_246_352_578_752&sexes=1_2&types=0_1&years=1960_2024,2026-07-30
208,Denmark,1,Male,0,Incidence,1961,160,Lung,C33-C34,35.05399241,49.31173316,67.21100961,56.79427213,45.47724432,1040,2286858,"per 100,000 person-years",Multiple rate definitions; see rate columns,NORDCAN 9.6 (30 June 2026),https://nordcan.iarc.fr/en/dataviz/trends?cancers=160&key=asr_n&populations=208_246_352_578_752&sexes=1_2&types=0_1&years=1960_2024,2026-07-30
208,Denmark,1,Male,0,Incidence,1962,160,Lung,C33-C34,33.16857481,47.15969022,65.19640334,55.60712123,44.29859509,1021,2304813.5,"per 100,000 person-years",Multiple rate definitions; see rate columns,NORDCAN 9.6 (30 June 2026),https://nordcan.iarc.fr/en/dataviz/trends?cancers=160&key=asr_n&populations=208_246_352_578_752&sexes=1_2&types=0_1&years=1960_2024,2026-07-30
208,Denmark,1,Male,0,Incidence,1963,160,Lung,C33-C34,36.46762319,51.87823464,72.18269176,61.3159555,48.56249839,1128,2322780,"per 100,000 person-years",Multiple rate definitions; see rate columns,NORDCAN 9.6 (30 June 2026),https://nordcan.iarc.fr/en/dataviz/trends?cancers=160&key=asr_n&populations=208_246_352_578_752&sexes=1_2&types=0_1&years=1960_2024,2026-07-30
208,Denmark,1,Male,0,Incidence,1964,160,Lung,C33-C34,38.59470611,54.20989447,73.96563402,62.79721466,51.30003515,1201,2341129,"per 100,000 person-years",Multiple rate definitions; see rate columns,NORDCAN 9.6 (30 June 2026),https://nordcan.iarc.fr/en/dataviz/trends?cancers=160&key=asr_n&populations=208_246_352_578_752&sexes=1_2&types=0_1&years=1960_2024,2026-07-30
208,Denmark,1,Male,0,Incidence,1965,160,Lung,C33-C34,41.26764117,58.87823747,82.18034885,69.61795757,55.87500448,1318,2358836.5,"per 100,000 person-years",Multiple rate definitions; see rate columns,NORDCAN 9.6 (30 June 2026),https://nordcan.iarc.fr/en/dataviz/trends?cancers=160&key=asr_n&populations=208_246_352_578_752&sexes=1_2&types=0_1&years=1960_2024,2026-07-30
208,Denmark,1,Male,0,Incidence,1966,160,Lung,C33-C34,41.55872128,59.47256367,83.95310077,70.66978407,56.91043232,1353,2377420,"per 100,000 person-years",Multiple rate definitions; see rate columns,NORDCAN 9.6 (30 June 2026),https://nordcan.iarc.fr/en/dataviz/trends?cancers=160&key=asr_n&populations=208_246_352_578_752&sexes=1_2&types=0_1&years=1960_2024,2026-07-30
208,Denmark,1,Male,0,Incidence,1967,160,Lung,C33-C34,45.09134446,64.3331315,90.25168018,76.10865897,61.72154278,1479,2396246,"per 100,000 person-years",Multiple rate definitions; see rate columns,NORDCAN 9.6 (30 June 2026),https://nordcan.iarc.fr/en/dataviz/trends?cancers=160&key=asr_n&populations=208_246_352_578_752&sexes=1_2&types=0_1&years=1960_2024,2026-07-30
208,Denmark,1,Male,0,Incidence,1968,160,Lung,C33-C34,47.8910427,68.3068975,97.24615591,81.9862855,66.16841916,1595,2410515.5,"per 100,000 person-years",Multiple rate definitions; see rate columns,NORDCAN 9.6 (30 June 2026),https://nordcan.iarc.fr/en/dataviz/trends?cancers=160&key=asr_n&populations=208_246_352_578_752&sexes=1_2&types=0_1&years=1960_2024,2026-07-30
208,Denmark,1,Male,0,Incidence,1969,160,Lung,C33-C34,47.33537578,68.14310911,98.20079567,82.4663517,66.28753114,1607,2424287,"per 100,000 person-years",Multiple rate definitions; see rate columns,NORDCAN 9.6 (30 June 2026),https://nordcan.iarc.fr/en/dataviz/trends?cancers=160&key=asr_n&populations=208_246_352_578_752&sexes=1_2&types=0_1&years=1960_2024,2026-07-30
208,Denmark,1,Male,0,Incidence,1970,160,Lung,C33-C34,49.54286563,70.72051783,101.1250882,84.88248048,69.33337149,1696,2446152.5,"per 100,000 person-years",Multiple rate definitions; see rate columns,NORDCAN 9.6 (30 June 2026),https://nordcan.iarc.fr/en/dataviz/trends?cancers=160&key=asr_n&populations=208_246_352_578_752&sexes=1_2&types=0_1&years=1960_2024,2026-07-30
208,Denmark,1,Male,0,Incidence,1971,160,Lung,C33-C34,51.48744243,74.5758324,108.8847057,91.70937583,73.42788763,1810,2465003.5,"per 100,000 person-years",Multiple rate definitions; see rate columns,NORDCAN 9.6 (30 June 2026),https://nordcan.iarc.fr/en/dataviz/trends?cancers=160&key=asr_n&populations=208_246_352_578_752&sexes=1_2&types=0_1&years=1960_2024,2026-07-30
208,Denmark,1,Male,0,Incidence,1972,160,Lung,C33-C34,53.91379667,77.98156136,114.2474806,95.86126534,77.41668826,1918,2477502,"per 100,000 person-years",Multiple rate definitions; see rate columns,NORDCAN 9.6 (30 June 2026),https://nordcan.iarc.fr/en/dataviz/trends?cancers=160&key=asr_n&populations=208_246_352_578_752&sexes=1_2&types=0_1&years=1960_2024,2026-07-30
208,Denmark,1,Male,0,Incidence,1973,160,Lung,C33-C34,53.49546416,77.67287502,114.1739636,96.09598995,77.30321746,1926,2491487.5,"per 100,000 person-years",Multiple rate definitions; see rate columns,NORDCAN 9.6 (30 June 2026),https://nordcan.iarc.fr/en/dataviz/trends?cancers=160&key=asr_n&populations=208_246_352_578_752&sexes=1_2&types=0_1&years=1960_2024,2026-07-30
208,Denmark,1,Male,0,Incidence,1974,160,Lung,C33-C34,54.02002341,78.76489836,116.5273028,97.9489212,78.60256946,1966,2501190.5,"per 100,000 person-years",Multiple rate definitions; see rate columns,NORDCAN 9.6 (30 June 2026),https://nordcan.iarc.fr/en/dataviz/trends?cancers=160&key=asr_n&populations=208_246_352_578_752&sexes=1_2&types=0_1&years=1960_2024,2026-07-30
208,Denmark,1,Male,0,Incidence,1975,160,Lung,C33-C34,53.95274631,78.33213635,115.6871655,97.0771618,79.38438586,1989,2505530.5,"per 100,000 person-years",Multiple rate definitions; see rate columns,NORDCAN 9.6 (30 June 2026),https://nordcan.iarc.fr/en/dataviz/trends?cancers=160&key=asr_n&populations=208_246_352_578_752&sexes=1_2&types=0_1&years=1960_2024,2026-07-30
208,Denmark,1,Male,0,Incidence,1976,160,Lung,C33-C34,55.84660264,82.1469038,122.6277792,103.5861558,83.47160601,2095,2509835.5,"per 100,000 person-years",Multiple rate definitions; see rate columns,NORDCAN 9.6 (30 June 2026),https://nordcan.iarc.fr/en/dataviz/trends?cancers=160&key=asr_n&populations=208_246_352_578_752&sexes=1_2&types=0_1&years=1960_2024,2026-07-30
208,Denmark,1,Male,0,Incidence,1977,160,Lung,C33-C34,55.93746212,81.99448644,122.3663908,103.1250415,84.28923727,2121,2516335.5,"per 100,000 person-years",Multiple rate definitions; see rate columns,NORDCAN 9.6 (30 June 2026),https://nordcan.iarc.fr/en/dataviz/trends?cancers=160&key=asr_n&populations=208_246_352_578_752&sexes=1_2&types=0_1&years=1960_2024,2026-07-30
208,Denmark,1,Male,0,Incidence,1978,160,Lung,C33-C34,56.97989739,83.00281776,122.3365762,103.4612406,85.42382207,2155,2522715.5,"per 100,000 person-years",Multiple rate definitions; see rate columns,NORDCAN 9.6 (30 June 2026),https://nordcan.iarc.fr/en/dataviz/trends?cancers=160&key=asr_n&populations=208_246_352_578_752&sexes=1_2&types=0_1&years=1960_2024,2026-07-30
